City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,bilibino,68.0546,166.4372,266.46,85,100,2.06,RU,1697078455
1,montmorillon,46.4167,0.6667,288.0,54,80,3.72,FR,1697078455
2,port-aux-francais,-49.35,70.2167,274.61,100,100,5.55,TF,1697078455
3,bonanza,14.0289,-84.591,296.85,98,49,1.1,NI,1697078456
4,fort mcmurray,56.7268,-111.381,284.92,58,0,4.12,CA,1697078456
5,tiksi,71.6872,128.8694,268.85,82,100,7.08,RU,1697078244
6,jaltepec,19.7333,-98.6333,287.72,85,97,1.69,MX,1697078457
7,bethel,41.3712,-73.414,285.89,82,0,0.0,US,1697078230
8,mount pearl,47.5166,-52.7813,285.45,97,75,2.06,CA,1697078457
9,nema,57.5067,50.5011,274.24,79,100,7.07,RU,1697078239
10,adamstown,-25.066,-130.1015,293.76,72,2,4.67,PN,1697078227
11,waitangi,-43.9535,-176.5597,286.38,79,21,7.6,NZ,1697078458
12,dryden,49.7833,-92.7503,279.31,87,20,1.54,CA,1697078458
13,mbanza kongo,-6.267,14.2401,294.62,93,60,1.83,AO,1697078458
14,talnakh,69.4865,88.3972,272.71,95,100,1.19,RU,1697078459
15,utrik,11.2278,169.8474,301.43,74,93,5.29,MH,1697078459
16,palikir - national government center,6.9248,158.1611,299.62,94,100,2.06,FM,1697078459
17,uturoa,-16.7333,-151.4333,299.55,78,20,6.88,PF,1697078460
18,gidam,18.9833,81.4,299.75,65,0,0.9,IN,1697078460
19,edinburgh of the seven seas,-37.0676,-12.3116,286.96,86,77,9.22,SH,1697078460
20,bandarbeyla,9.4942,50.8122,298.86,88,6,2.29,SO,1697078460
21,grytviken,-54.2811,-36.5092,268.11,72,18,3.82,GS,1697078227
22,puerto ayora,-0.7393,-90.3518,296.79,97,100,0.89,EC,1697078461
23,joshimath,30.5667,79.5667,293.91,38,0,1.02,IN,1697078461
24,kerikeri,-35.2268,173.9474,291.99,65,7,2.24,NZ,1697078462
25,dudinka,69.4058,86.1778,274.64,93,100,6.71,RU,1697078233
26,cockburn town,21.4612,-71.1419,302.15,72,99,8.24,TC,1697078243
27,luena,-11.7833,19.9167,290.88,78,90,1.41,AO,1697078248
28,waingapu,-9.6567,120.2641,304.88,50,22,5.08,ID,1697078463
29,margaret river,-33.95,115.0667,291.99,41,0,2.02,AU,1697078463
30,mandali,33.7499,45.5541,301.84,21,59,3.74,IQ,1697078464
31,port elizabeth,-33.918,25.5701,291.31,96,75,4.63,ZA,1697078464
32,ushuaia,-54.8,-68.3,277.96,75,40,12.35,AR,1697078464
33,aasiaat,68.7098,-52.8699,267.38,94,100,4.13,GL,1697078465
34,bredasdorp,-34.5322,20.0403,288.2,90,92,2.89,ZA,1697078465
35,punta arenas,-53.15,-70.9167,279.21,75,75,6.69,CL,1697078238
36,keflavik,64.0049,-22.5624,275.39,93,100,12.35,IS,1697078465
37,hamilton,39.1834,-84.5333,288.64,79,100,0.45,US,1697078466
38,blackmans bay,-43.0167,147.3167,289.11,55,100,0.45,AU,1697078466
39,hawaiian paradise park,19.5933,-154.9731,299.88,85,40,3.6,US,1697078466
40,markovo,57.3206,107.0881,285.97,55,99,4.25,RU,1697078467
41,isafjordur,66.0755,-23.124,274.9,92,100,17.05,IS,1697078467
42,minas de marcona,-15.2119,-75.1103,286.75,85,98,5.89,PE,1697078467
43,constitucion,-35.3333,-72.4167,283.79,81,0,3.46,CL,1697078457
44,debark',13.1561,37.8981,285.17,56,84,1.37,ET,1697078468
45,irbit,57.6705,63.071,276.69,93,100,3.11,RU,1697078468
46,chonchi,-42.6128,-73.8092,279.88,76,85,2.83,CL,1697078468
47,stanley,54.868,-1.6985,276.92,95,0,2.57,GB,1697078469
48,tangalle,6.024,80.7911,298.24,85,94,3.71,LK,1697078469
49,lepsy,46.235,78.9456,293.09,25,61,3.1,KZ,1697078469
50,port augusta,-32.5,137.7667,294.48,32,0,10.56,AU,1697078469
51,walvis bay,-22.9575,14.5053,286.68,94,0,2.57,NA,1697078470
52,illizi,26.4833,8.4667,295.38,29,86,5.27,DZ,1697078470
53,cabo san lucas,22.8909,-109.9124,302.76,80,0,8.75,MX,1697078231
54,radomsko,51.0671,19.4448,290.32,62,100,8.08,PL,1697078471
55,udachny,66.4167,112.4,274.51,74,100,5.18,RU,1697078471
56,iqaluit,63.7506,-68.5145,273.0,80,20,2.57,CA,1697078472
57,college,64.8569,-147.8028,270.62,86,100,2.57,US,1697078472
58,castricum,52.5483,4.6694,287.59,59,100,1.43,NL,1697078472
59,tazovsky,67.4667,78.7,274.93,98,100,3.1,RU,1697078473
60,lahaina,20.8783,-156.6825,301.15,80,34,3.59,US,1697078473
61,colonia,50.9333,6.95,293.13,63,20,6.17,DE,1697078347
62,papatowai,-46.5619,169.4708,285.28,65,49,6.96,NZ,1697078473
63,flying fish cove,-10.4217,105.6791,299.97,83,100,6.69,CX,1697078474
64,port macquarie,-31.4333,152.9167,300.31,53,0,7.98,AU,1697078341
65,nangomba,-10.9,38.5,294.71,83,100,1.86,TZ,1697078474
66,puerto natales,-51.7236,-72.4875,277.1,91,94,4.35,CL,1697078475
67,greymouth,-42.4667,171.2,286.28,79,48,3.24,NZ,1697078475
68,ixtapa,20.7,-105.2,300.72,83,40,0.0,MX,1697078475
69,vahdat,38.5563,69.0135,286.56,58,2,1.0,TJ,1697078475
70,weno,7.4515,151.8468,304.12,74,40,2.57,FM,1697078476
71,susuman,62.7833,148.1667,260.92,77,68,0.89,RU,1697078476
72,vilyuysk,63.7553,121.6247,279.35,60,45,5.81,RU,1697078477
73,hithadhoo,-0.6,73.0833,300.54,72,10,6.39,MV,1697078477
74,green valley,31.8543,-110.9937,301.68,40,0,3.47,US,1697078477
75,puerto santa,-8.9906,-78.6456,291.58,89,100,5.57,PE,1697078477
76,ouadda,8.0777,22.4007,293.37,95,100,2.53,CF,1697078478
77,nabinagar,23.8917,90.9733,301.22,76,0,1.78,BD,1697078478
78,ilulissat,69.2167,-51.1,270.16,68,100,2.06,GL,1697078478
79,alavus,62.5833,23.6167,278.1,92,60,3.93,FI,1697078479
80,hadibu,12.65,54.0333,300.09,82,81,2.02,YE,1697078479
81,hermanus,-34.4187,19.2345,288.28,89,98,3.36,ZA,1697078479
